sprint,story_id,story,keyword,mitre_id,technique,severity,score,recommendation,security_user_story,assignee
1,1,"As a user, I want to register with email and password so I can create an account.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
1,2,"As a user, I want to login with email and password so I can access my dashboard.",login,T1110,Brute Force,High,9.0,"Rate-limit login attempts, enable MFA","As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'.",Team
1,2,"As a user, I want to login with email and password so I can access my dashboard.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
1,3,"As a user, I want to reset my password using an email OTP so I can recover my account.",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,"As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'.",Team
1,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,"As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'.",Team
1,7,"As a developer, I want to expose a public REST API for product search.",api,T1190,Exploit Public-Facing Application,High,9.0,"Validate inputs, enforce rate-limits","As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'.",Team
1,9,"As a user, I want to save my credit card token for future purchases.",token,T1552,Token Exposure,High,9.0,"Rotate tokens, short expiry","As a system, I must implement Rotate tokens, short expiry to mitigate Token Exposure (T1552) risk for 'token'.",Team
1,10,"As an admin, I want an admin portal to manage users and change roles.",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,"As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'.",Team
1,3,"As a user, I want to reset my password using an email OTP so I can recover my account.",otp,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'otp'.",Team
1,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",csv,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'csv'.",Team
1,5,"As an admin, I want to bulk-upload product CSV files to update the catalog.",upload,T1204,Malicious File Upload,Medium,6.0,Scan and validate uploaded files,"As a system, I should apply Scan and validate uploaded files to reduce Malicious File Upload (T1204) risk for 'upload'.",Team
1,6,"As a customer, I want to view my order history and export it as CSV.",csv,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'csv'.",Team
1,8,"As a developer, I want to integrate Stripe (payment gateway) to process payments.",stripe,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'stripe'.",Team
1,4,"As a user, I want to update my profile picture by uploading an image file.",(none),-,-,Low,3.0,Manual review required,Manual security review required,Team
