sprint,story_id,story,keyword,mitre_id,technique,severity,score,recommendation,security_user_story,assignee
4,1,"""As a user, I want to register with email and password so I can create an account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential,T1078,Valid Accounts,High,9.0,Monitor credential use and rotate credentials regularly,"As a system, I must implement Monitor credential use and rotate credentials regularly to mitigate Valid Accounts (T1078) risk for 'credential'.",Team
4,1,"""As a user, I want to register with email and password so I can create an account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",password,T1003,Credential Dumping,High,9.0,"Store hashed passwords, use secure vaults","As a system, I must implement Store hashed passwords, use secure vaults to mitigate Credential Dumping (T1003) risk for 'password'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",login,T1110,Brute Force,High,9.0,"Add rate limiting, account lockout, MFA","As a system, I must implement Add rate limiting, account lockout, MFA to mitigate Brute Force (T1110) risk for 'login'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",password,T1003,Credential Dumping,High,9.0,"Store hashed passwords, use secure vaults","As a system, I must implement Store hashed passwords, use secure vaults to mitigate Credential Dumping (T1003) risk for 'password'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential,T1078,Valid Accounts,High,9.0,Monitor credential use and rotate credentials regularly,"As a system, I must implement Monitor credential use and rotate credentials regularly to mitigate Valid Accounts (T1078) risk for 'credential'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",login,T1110,Brute Force,High,9.0,"Add rate limiting, account lockout, MFA","As a system, I must implement Add rate limiting, account lockout, MFA to mitigate Brute Force (T1110) risk for 'login'.",Team
4,3,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",password,T1003,Credential Dumping,High,9.0,"Store hashed passwords, use secure vaults","As a system, I must implement Store hashed passwords, use secure vaults to mitigate Credential Dumping (T1003) risk for 'password'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential,T1078,Valid Accounts,High,9.0,Monitor credential use and rotate credentials regularly,"As a system, I must implement Monitor credential use and rotate credentials regularly to mitigate Valid Accounts (T1078) risk for 'credential'.",Team
4,4,"1,3,""As a user, I want to reset my password using an email OTP so I can recover my account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",password,T1003,Credential Dumping,High,9.0,"Store hashed passwords, use secure vaults","As a system, I must implement Store hashed passwords, use secure vaults to mitigate Credential Dumping (T1003) risk for 'password'.",Team
4,5,"1,5,""As an admin, I want to bulk-upload product CSV files to update the catalog."",admin,T1078,Valid Accounts,High,9.0,Harden admin access and enable MFA,""As a system, I must implement Harden admin access and enable MFA to mitigate Valid Accounts (T1078) risk for 'admin'."",Team",admin,T1078,Valid Accounts (admin misuse),High,9.0,"Limit admin accounts, logging and 2FA for admin","As a system, I must implement Limit admin accounts, logging and 2FA for admin to mitigate Valid Accounts (admin misuse) (T1078) risk for 'admin'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",api,T1190,Exploit Public-Facing Application,High,9.0,"Validate inputs, use API gateway and WAF","As a system, I must implement Validate inputs, use API gateway and WAF to mitigate Exploit Public-Facing Application (T1190) risk for 'api'.",Team
4,6,"1,7,""As a developer, I want to expose a public REST API for product search."",api,T1190,Exploit Public-Facing Application,High,9.0,""Validate inputs, enforce rate-limits"",""As a system, I must implement Validate inputs, enforce rate-limits to mitigate Exploit Public-Facing Application (T1190) risk for 'api'."",Team",exploit,T1190,Exploit Public-Facing Application,High,9.0,Keep dependencies patched and use WAF,"As a system, I must implement Keep dependencies patched and use WAF to mitigate Exploit Public-Facing Application (T1190) risk for 'exploit'.",Team
4,1,"""As a user, I want to register with email and password so I can create an account."",password,T1003,Credential Dumping,High,9.0,Hash and salt passwords,""As a system, I must implement Hash and salt passwords to mitigate Credential Dumping (T1003) risk for 'password'."",Team",credential dumping,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'credential dumping'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",1,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '1'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",2,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '2'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team","""as",(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for '""as'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",access,T1078,Valid Accounts,Medium,6.0,Implement RBAC and access reviews,"As a system, I should apply Implement RBAC and access reviews to reduce Valid Accounts (T1078) risk for 'access'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",brute force,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'brute force'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",mfa,T1110,Brute Force (targeting second factor),Medium,6.0,Use phishing-resistant MFA and MFA prompts monitoring,"As a system, I should apply Use phishing-resistant MFA and MFA prompts monitoring to reduce Brute Force (targeting second factor) (T1110) risk for 'mfa'.",Team
4,2,"1,2,""As a user, I want to login with email and password so I can access my dashboard."",login,T1110,Brute Force,High,9.0,""Rate-limit login attempts, enable MFA"",""As a system, I must implement Rate-limit login attempts, enable MFA to mitigate Brute Force (T1110) risk for 'login'."",Team",rate,(unknown),(unknown),Medium,6.0,Extend mapping JSON,"As a system, I should apply recommended security controls to reduce (unknown) ((unknown)) risk for 'rate'.",Team
